Name,Ticker,Traded_Date,TradeMonth,Transaction,trade_price,future_price_1m,ret_1m,future_price_3m,ret_3m,future_price_6m,ret_6m,future_price_9m,ret_9m,future_price_11m,ret_11m,future_price_24m,ret_24m,direct_legislative_connection
Mark Dr Green,AMZA,2020-12-24,2020-12,Purchase,72.5999984741211,69.23999786376953,-0.04628100111529981,197.27999877929688,1.7173554121990657,279.8399963378906,2.8545454851165326,177.9600067138672,1.4512398134182136,210.72000122070312,1.902479416660265,,,True
Michael Garcia,AAL,2020-07-09,2020-07,Purchase,,,,,,,,,,,,,,True
Michael Garcia,FAS,2020-07-09,2020-07,Purchase,52.94864273071289,51.43019104003906,-0.028677820853622173,40.12067413330078,-0.24227190605532253,32.25232696533203,-0.3908752840113114,,,,,,,True
Michael Garcia,TSLA,2020-09-04,2020-09,Purchase,157.43649291992188,172.54800415039062,0.09598480600145884,137.9409942626953,-0.12383087488580367,97.48600006103516,-0.38079159251457534,,,,,,,True
Michael Garcia,AAL,2020-10-26,2020-10,Purchase,,,,,,,,,,,,,,True
Michael Garcia,FAS,2020-10-26,2020-10,Purchase,64.82017517089844,62.81858444213867,-0.030879131743821585,52.94864273071289,-0.18314563959270772,40.12067413330078,-0.3810465024581838,32.25232696533203,-0.5024338197127862,,,,,True
Michael Garcia,TSLA,2020-10-26,2020-10,Purchase,151.8074951171875,157.43649291992188,0.037079841139523985,158.23399353027344,0.0423332089639251,123.6999969482422,-0.18515224262970528,100.43599700927734,-0.3383989576288972,,,,,True
Michael Garcia,AAPL,2020-11-24,2020-11,Purchase,,,,,,,,,,,,,,True
"Moran, Jerry",JNJ,2020-08-21,2020-08,Purchase,215.9600067138672,154.9499969482422,-0.28250605607018364,92.9800033569336,-0.5694573047493651,82.91000366210938,-0.616086307257993,,,,,,,True
Nancy Pelosi,FB,2020-01-16,2020-01,Purchase,200.04269409179688,,,,,,,,,,,,,True
Nancy Pelosi,GOOGL,2020-02-27,2020-02,Purchase,,,,,,,,,,,,,,True
Nancy Pelosi,MSFT,2020-02-28,2020-02,Purchase,15.054776191711426,16.494548797607422,0.09563560344979946,,,,,,,,,,,True
Peter Welch,ED,2020-03-02,2020-03,Purchase,564.4312744140625,515.5111694335938,-0.08667149961038717,,,,,,,,,,,True
Richard W. Allen,PG,2020-04-17,2020-04,Purchase,81.15619659423828,77.02299499511719,-0.050928971200882175,89.39801788330078,0.10155504613245554,,,,,,,,,True
Richard W. Allen,HD,2020-05-14,2020-05,Purchase,21.40999984741211,24.709999084472656,0.15413354790188977,27.399999618530273,0.27977579700180116,,,,,,,,,True
Rick Larsen,UNP,2020-11-25,2020-11,Purchase,84.71388244628906,79.41339111328125,-0.0625693355084802,69.28388977050781,-0.18214243321411094,55.07133865356445,-0.34991364976712996,36.0965576171875,-0.5739003269024565,,,,,True
Susan W. Brooks,MSFT,2020-04-06,2020-04,Purchase,13.334784507751465,11.895013809204102,-0.10797105102901584,16.494548797607422,0.2369565318449051,,,,,,,,,True
Susan W. Brooks,QCOM,2020-04-06,2020-04,Purchase,182.4779052734375,146.57005310058594,-0.19677917783550153,184.45651245117188,0.010842995894596079,,,,,,,,,True
Suzan K. Delbene,MSFT,2020-03-02,2020-03,Purchase,11.895013809204102,15.054776191711426,0.26563755479311585,,,,,,,,,,,True
Suzan K. Delbene,MSFT,2020-03-31,2020-03,Purchase,11.895013809204102,15.054776191711426,0.26563755479311585,,,,,,,,,,,True
Suzan K. Delbene,MSFT,2020-08-31,2020-08,Purchase,16.527812957763672,15.236397743225098,-0.07813588027882133,14.20444107055664,-0.1405734620269686,15.054776191711426,-0.0891247238710014,,,,,,,True
