company,pagerank
GOOG,0.03495909224541615
UNH,0.034462609789749105
AMZN,0.02684095900871213
MSFT,0.02562290684037771
BA,0.020839413918119394
JPM,0.018560127919899565
LMT,0.018259450648594425
UPS,0.0159159861482297
NOC,0.013618151158679266
AAPL,0.013448155023846812
WFC,0.013410396181933994
RTX,0.011851653260954637
MRK,0.011768586296472002
PFE,0.010891524969579883
HD,0.010825639557434888
CVS,0.010443714063913987
V,0.009559978907180942
T,0.009402132911511202
CMCSA,0.008530809555304534
BAC,0.007522913914532098
GD,0.007182074582999129
AET,0.006947680820773628
ANTM,0.006544011693693584
HUM,0.006544011693693584
BOEING,0.0064683985538685485
RAYTHEON,0.0064683985538685485
ATVI,0.0064683985538685485
AMAZON,0.0064683985538685485
WELLS FARGO,0.0064683985538685485
DOMINION ENERGY,0.0064683985538685485
GOLDMAN SACHS,0.0064683985538685485
INTC,0.006466507328462331
NVDA,0.006466507328462331
XOM,0.006257484153757228
C,0.0054427261355985985
DIS,0.00528853189780916
TXT,0.004714054656871179
CACI,0.004714054656871179
LHX,0.004714054656871179
BAH,0.004714054656871179
WMT,0.0044280410311517875
MCK,0.0043103855297911345
CI,0.0043103855297911345
LLY,0.0043103855297911345
BAX,0.0043103855297911345
JNJ,0.004247379356732933
UNP,0.0041014647557104334
NKE,0.003848217760546526
FB,0.003843661657447185
SO,0.003608389597750031
AFL,0.003608389597750031
KO,0.003055472550095022
MMC,0.003055472550095022
CHEVRON,0.0029974115989394017
EXXON,0.0029974115989394017
ICE,0.002965936152664025
FDX,0.0028253516362203935
GOOGL,0.002795443609583677
